Name,Company,Address,Postal,City,State,Country
EdgeCore Phoenix Campus,EdgeCore,3856 S Everton Terrace,85212,Mesa,Arizona,USA
CyrusOne PHX6 - Chandler,CyrusOne Data Centers,2605 South Ellis St.,85286,Chandler,Arizona,USA
CyrusOne PHX2 - Chandler,CyrusOne Data Centers,2305 South Ellis St.,85286,Chandler,Arizona,USA
CyrusOne PHX5 - Chandler,CyrusOne Data Centers,2405 South Ellis St.,85286,Chandler,Arizona,USA
CyrusOne PHX4 - Chandler,CyrusOne Data Centers,2495 South Ellis St.,85286,Chandler,Arizona,USA
Edged Phoenix,Edged Energy,8811 E Warner Rd,85296,Gilbert,Arizona,USA
CyrusOne PHX7 - Chandler,CyrusOne Data Centers,2705 South Ellis St.,85286,Chandler,Arizona,USA
DCX Goodyear,DCX,16422 W Commerce Dr,85338,Goodyear,Arizona,USA
11:11 Systems Scottsdale,11:11 Systems,7499 E Paradise Ln,85260,Scottsdale,Arizona,USA
Centersquare - Phoenix PHX2-A,Csquare,2055 E Technology Cir,85284,Tempe,Arizona,USA
Cogent Data Center - Phoenix,"Cogent Communications, Inc.",3410 E. University Drive,85034,Phoenix,Arizona,USA
DataBank PHX1 - Downtown Phoenix,DataBank,3110 N Central St,85012,Phoenix,Arizona,USA
Southwest Crossing Data Center Campus,"Ryan Companies US, Inc.",W Houser Rd,85131,Eloy,Arizona,USA
Cogent Data Center - Phoenix 2,"Cogent Communications, Inc.",1530 E Roeser Rd,85040,Phoenix,Arizona,USA
Omnis Data Center,Omnis Network,1005 W Geneva Dr,85282,Tempe,Arizona,USA
CyrusOne PHX8 - Chandler,CyrusOne Data Centers,2705 South Ellis St.,85286,Chandler,Arizona,USA
Compass Goodyear Campus,Compass Datacenters,850 S Bullard Ave,85338,Goodyear,Arizona,USA
EdgeCore PH01,EdgeCore,3856 S Everton Terrace,85212,Mesa,Arizona,USA
Novva Mesa,Novva,S Ellsworth Rd & E Warner Rd,85212,Mesa,Arizona,USA
EdgeCore PH03,EdgeCore,3856 S Everton Terrace,85212,Mesa,Arizona,USA
EdgeCore PH02,EdgeCore,3856 S Everton Terrace,85212,Mesa,Arizona,USA
DataBank PHX2 - Phoenix Sky Harbor,DataBank,615 North 48th Street,85008,Phoenix,Arizona,USA
2500 W Frye Rd,Lincoln Property Company,2500 W Frye Rd,85224,Chandler,Arizona,USA
5CDC Phoenix - PHX01,5C Group Inc.,"within Phoenix, Arizona",TBA,Phoenix,Arizona,USA
PhoenixNAP West University,PhoenixNAP,2353 W University Dr,85281,Tempe,Arizona,USA
ColoBarn Phoenix Data Center,ColoBarn,8905 S Beck Ave,85284,Tempe,Arizona,USA
QTS Phoenix-Van Buren,QTS Data Centers,120 East Van Buren Street,85004,Phoenix,Arizona,USA
Buckeye Tech Corridor,Tract,W Yuma Rd & S Johnson Rd,85396,Buckeye,Arizona,USA
Microsoft Goodyear (PHX70),Microsoft,3785 N Citrus Rd,85395,Goodyear,Arizona,USA
Microsoft El Mirage Campus,Microsoft,12901 W Olive Ave,85335,El Mirage,Arizona,USA
