state,state_abbr,year,cumulative_dc_mw,cumulative_dc_count,new_dc_mw,new_dc_count,cumulative_dc_energy_twh,new_dc_energy_twh,dc_share_of_state_pct,new_dc_share_of_change_pct,cumulative_ai_count,ai_ratio,cumulative_dc_mw_lag1,cumulative_dc_mw_lag2,dc_growth_mw,electricity_gwh,electricity_change_gwh,electricity_pct_change,log_dc_mw,log_elec_gwh,population_millions,gdp_billions,dc_per_million_pop,dc_mw_per_million_pop,dc_per_billion_gdp,elec_per_capita_mwh,dc_intensity,is_high_dc_state
Alabama,AL,2005,12.0,1,0.0,0,0.08672400000000001,0.0,97.22244954744097,0.0,0,0.0,12.0,12.0,0.0,89.20161999999999,2.3311009999999897,2.6834201370432584,2.5649493574615367,4.502047386995989,5.0,270,0.2,2.4,0.003703703703703704,0.017840323999999998,4.444444444444444,0
Alabama,AL,2006,12.0,1,0.0,0,0.08672400000000001,0.0,95.6398373381679,0.0,0,0.0,12.0,12.0,0.0,90.677695,1.4760750000000087,1.6547625480344514,2.5649493574615367,4.518279110852813,5.0,270,0.2,2.4,0.003703703703703704,0.018135539000000003,4.444444444444444,0
Alabama,AL,2007,16.5,2,4.5,1,0.1192455,0.0325215,129.85679472979098,100.0,0,0.0,12.0,12.0,4.5,91.82846400000001,1.150769000000011,1.26907614932207,2.8622008809294686,4.530753316899855,5.0,270,0.4,3.3,0.007407407407407408,0.018365692800000003,6.111111111111111,0
Alabama,AL,2008,16.5,2,0.0,0,0.1192455,0.0,132.92734025151657,0.0,0,0.0,16.5,12.0,0.0,89.70727901,-2.1211849900000175,-2.309942797257305,2.8622008809294686,4.507637607594431,5.0,270,0.4,3.3,0.007407407407407408,0.017941455802,6.111111111111111,0
Alabama,AL,2009,16.5,2,0.0,0,0.1192455,0.0,143.93876867051367,0.0,0,0.0,16.5,16.5,0.0,82.84460198000001,-6.862677029999986,-7.650078238617603,2.8622008809294686,4.428965109094956,5.0,270,0.4,3.3,0.007407407407407408,0.016568920396,6.111111111111111,0
Alabama,AL,2010,16.5,2,0.0,0,0.1192455,0.0,131.23709969041735,0.0,0,0.0,16.5,16.5,0.0,90.862645,8.018043019999993,9.678413352671638,2.8622008809294686,4.520294472299791,5.0,270,0.4,3.3,0.007407407407407408,0.018172529,6.111111111111111,0
Alabama,AL,2011,16.5,2,0.0,0,0.1192455,0.0,133.99067991211888,0.0,0,0.0,16.5,16.5,0.0,88.99536899,-1.8672760099999977,-2.0550535481330066,2.8622008809294686,4.49975821333971,5.0,270,0.4,3.3,0.007407407407407408,0.017799073798,6.111111111111111,0
Alabama,AL,2012,16.5,2,0.0,0,0.1192455,0.0,138.3638599153086,0.0,0,0.0,16.5,16.5,0.0,86.18254801,-2.812820979999998,-3.1606374712779286,2.8622008809294686,4.468004173384752,5.0,270,0.4,3.3,0.007407407407407408,0.017236509602,6.111111111111111,0
Alabama,AL,2013,16.5,2,0.0,0,0.1192455,0.0,135.73436545221747,0.0,0,0.0,16.5,16.5,0.0,87.85210701999999,1.6695590099999862,1.93723561040022,2.8622008809294686,4.486973268669508,5.0,270,0.4,3.3,0.007407407407407408,0.017570421404,6.111111111111111,0
Alabama,AL,2014,16.5,2,0.0,0,0.1192455,0.0,131.77211716967471,0.0,0,0.0,16.5,16.5,0.0,90.49372702000001,2.6416200000000174,3.0068943018050085,2.8622008809294686,4.516270412772856,5.0,270,0.4,3.3,0.007407407407407408,0.018098745404,6.111111111111111,0
Alabama,AL,2015,16.5,2,0.0,0,0.1192455,0.0,134.21663706867096,0.0,0,0.0,16.5,16.5,0.0,88.845543,-1.6481840200000022,-1.821324056678246,2.8622008809294686,4.498092007102154,5.0,270,0.4,3.3,0.007407407407407408,0.0177691086,6.111111111111111,0
Alabama,AL,2016,16.5,2,0.0,0,0.1192455,0.0,135.16045273308205,0.0,0,0.0,16.5,16.5,0.0,88.22514100000001,-0.6204019999999986,-0.6982927663574509,2.8622008809294686,4.491162849649562,5.0,270,0.4,3.3,0.007407407407407408,0.0176450282,6.111111111111111,0
Alabama,AL,2017,16.5,2,0.0,0,0.1192455,0.0,138.26890994205837,0.0,0,0.0,16.5,16.5,0.0,86.24173001,-1.98341099000001,-2.2481244773527873,2.8622008809294686,4.468682771604483,5.0,270,0.4,3.3,0.007407407407407408,0.017248346002,6.111111111111111,0
Alabama,AL,2018,569.0,17,552.5,15,4.098147,3.9789015,4539.3512412033015,100.0,1,0.058823529411764705,16.5,16.5,552.5,90.280456,4.038725990000003,4.6830298853370635,6.345636360828596,4.5139367011592215,5.0,270,3.4,113.8,0.06296296296296296,0.018056091200000002,210.74074074074073,0
Alabama,AL,2019,569.0,17,0.0,0,4.098147,0.0,4651.957306705966,0.0,1,0.058823529411764705,569.0,16.5,0.0,88.09511201,-2.185343990000007,-2.4206169162459776,6.345636360828596,4.489704473375961,5.0,270,3.4,113.8,0.06296296296296296,0.017619022402,210.74074074074073,0
Alabama,AL,2020,809.0,20,240.0,3,5.790578999999999,1.6924319999999997,6943.506193895107,100.0,4,0.2,569.0,569.0,240.0,83.39560502,-4.699506989999989,-5.334583137219385,6.697034247666484,4.435515327023305,5.0,270,4.0,161.8,0.07407407407407407,0.016679121004,299.6296296296296,0
Alabama,AL,2021,809.0,20,0.0,0,5.790578999999999,0.0,6765.867580370177,0.0,4,0.2,809.0,569.0,0.0,85.585166,2.189560979999996,2.6255112358437755,6.697034247666484,4.461128507593476,5.0,270,4.0,161.8,0.07407407407407407,0.0171170332,299.6296296296296,0
Alabama,AL,2022,1289.0,26,480.0,6,9.175442999999998,3.3848639999999994,10543.148150455483,100.0,10,0.38461538461538464,809.0,809.0,480.0,87.02754499,1.4423789899999946,1.6853142400868797,7.162397497355718,4.477649776750405,5.0,270,5.2,257.8,0.0962962962962963,0.017405508998,477.4074074074074,0
Alabama,AL,2023,1289.0,26,0.0,0,9.175442999999998,0.0,10809.854139614306,0.0,10,0.38461538461538464,1289.0,809.0,0.0,84.88035898999999,-2.147186000000005,-2.4672487317052663,7.162397497355718,4.452955153136916,5.0,270,5.2,257.8,0.0962962962962963,0.016976071797999998,477.4074074074074,0
Alaska,AK,2005,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.912571,0.12408699999999939,2.143687362701519,0.0,1.9333416380434438,0.7,60,0.0,0.0,0.0,0.00844653,0.0,0
Alaska,AK,2006,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.182291,0.2697200000000004,4.56180568487043,0.0,1.9716184129446312,0.7,60,0.0,0.0,0.0,0.008831844285714286,0.0,0
Alaska,AK,2007,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.32661,0.14431899999999942,2.3343935120491643,0.0,1.9915129259735431,0.7,60,0.0,0.0,0.0,0.009038014285714286,0.0,0
Alaska,AK,2008,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.32594399,-0.0006660099999997726,-0.010527122740294922,0.0,1.9914220189547511,0.7,60,0.0,0.0,0.0,0.009037062842857142,0.0,0
